State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn
DC,88,415,No,Yes,17,219.5,78,222.1,94,188.3,92,16.1,5,1,False
VT,111,408,No,No,0,99.3,112,270.5,136,225.3,94,9.0,6,3,False
NV,77,415,No,No,0,239.2,114,150.0,115,160.8,81,10.3,2,5,False
OR,67,415,Yes,No,0,120.9,58,235.0,88,95.1,130,11.4,11,2,False
AL,102,408,No,No,0,224.7,81,129.4,112,167.6,109,15.8,6,1,False
ND,146,408,No,Yes,19,176.6,88,162.7,66,215.5,98,14.6,6,1,False
NE,96,415,No,No,0,180.6,92,190.9,114,295.6,125,10.3,4,1,True
ME,149,408,No,No,0,237.6,79,192.4,107,207.4,111,9.1,9,0,False
IL,129,415,No,No,0,198.4,91,264.7,106,111.4,101,9.2,2,2,False
WA,166,408,No,No,0,274.3,110,52.9,109,246.1,119,10.9,5,0,False
KS,149,510,No,No,0,217.7,91,273.5,74,226.9,99,9.6,3,3,False
RI,70,415,No,No,0,134.7,96,235.9,90,260.2,113,7.6,6,3,False
IA,66,510,No,No,0,256.3,135,180.2,106,187.3,135,6.2,7,2,False
NV,160,415,No,No,0,176.2,90,196.0,115,263.9,95,9.2,4,1,False
WI,129,415,No,Yes,37,205.0,94,165.4,103,185.0,81,11.7,8,1,False
AL,93,408,No,No,0,267.9,114,223.0,74,262.7,90,11.3,3,3,True
HI,169,415,No,No,0,179.2,111,175.2,130,228.6,92,9.9,6,2,False
MO,58,415,No,No,0,149.4,145,196.5,105,209.5,108,14.9,3,1,False
MO,45,408,No,No,0,207.6,71,152.7,94,217.8,125,12.4,13,1,False
CT,155,510,No,No,0,165.4,108,183.7,103,80.2,108,8.9,4,3,False
MD,52,415,No,No,0,209.8,114,171.3,82,154.6,119,9.9,9,4,False
OH,119,415,No,Yes,27,220.1,128,268.2,133,146.5,80,11.1,3,0,False
NV,86,510,No,No,0,141.3,72,154.3,95,210.6,91,8.2,5,1,False
MD,42,408,No,No,0,196.5,89,241.3,123,143.2,105,4.0,7,0,False
OH,123,408,No,No,0,105.0,150,251.6,90,258.0,93,14.9,5,0,False
MA,98,510,No,No,0,271.4,119,190.4,102,284.7,118,11.1,6,4,True
OK,149,510,No,Yes,43,206.7,79,174.6,122,241.5,80,10.9,3,1,False
MA,160,408,No,No,0,166.8,109,236.0,117,307.6,77,9.3,1,1,False
WA,103,415,No,No,0,204.9,107,135.2,102,208.2,106,10.4,3,5,False
HI,132,415,No,Yes,15,154.6,128,245.6,106,148.6,90,9.1,4,1,False
CO,137,415,No,No,0,127.0,107,323.2,75,143.9,127,7.5,2,1,False
FL,129,415,Yes,No,0,267.4,78,204.2,85,111.7,146,5.9,4,1,False
WI,62,415,No,No,0,281.0,66,160.6,108,77.9,74,0.0,0,1,False
WY,32,408,No,No,0,171.2,82,185.6,102,203.3,64,10.2,7,1,False
GA,86,510,No,No,0,124.1,82,202.6,120,289.6,119,6.7,8,3,False
FL,130,415,No,No,0,162.8,113,290.3,111,114.9,140,7.2,3,1,False
WY,42,408,No,No,0,146.3,84,255.9,113,45.0,117,8.0,12,1,False
DE,73,415,No,No,0,254.8,85,143.4,80,153.9,102,15.0,7,2,False
ME,66,408,No,Yes,26,254.9,108,243.2,135,190.8,95,5.4,3,2,False
DC,103,510,No,Yes,31,107.7,124,188.9,104,196.2,98,8.9,3,0,False
IA,128,408,No,No,0,158.8,75,264.8,91,270.0,77,7.6,7,1,False
CO,104,415,No,No,0,182.9,113,239.6,85,229.8,104,5.5,4,2,False
MN,103,415,No,No,0,198.5,112,42.5,90,179.2,124,12.4,5,0,False
AZ,87,510,No,No,0,110.9,91,158.5,115,207.5,131,6.2,5,1,False
LA,109,415,No,Yes,27,166.9,85,221.2,92,197.3,97,12.3,4,1,True
ME,97,510,No,No,0,120.8,96,169.8,101,194.1,63,11.9,3,4,True
MD,106,415,No,No,0,165.3,118,210.0,101,187.2,93,8.5,3,2,False
VT,125,415,No,No,0,126.7,113,155.5,131,206.2,112,14.4,7,2,False
DC,108,408,No,Yes,35,215.9,106,200.6,107,195.4,107,15.5,7,0,False
WY,125,415,No,No,0,140.1,132,209.6,126,264.1,77,8.0,2,1,False
VA,72,510,Yes,Yes,29,139.8,114,138.2,91,221.0,88,5.5,6,0,False
CT,23,510,No,No,0,321.6,107,251.6,115,141.1,158,11.3,3,2,True
HI,149,510,No,No,0,166.6,61,218.8,107,208.3,131,8.2,6,7,False
WI,73,415,No,No,0,214.2,90,196.8,78,157.9,112,5.9,8,0,False
MD,61,415,No,No,0,260.0,123,210.5,127,234.7,70,9.0,3,1,True
WV,161,415,No,No,0,191.9,113,70.9,87,204.8,107,13.4,4,4,True
UT,118,415,No,Yes,24,118.1,83,109.6,72,245.5,73,16.9,2,1,False
CO,23,408,No,No,0,190.2,89,166.4,108,219.8,73,15.0,4,6,False
NC,127,415,No,Yes,25,82.2,95,163.3,109,264.9,104,5.1,6,0,False
NJ,42,415,No,Yes,32,163.8,80,177.8,123,190.4,106,8.1,5,0,False
AR,118,415,No,No,0,267.8,145,316.4,121,208.6,91,14.4,11,5,True
IA,45,510,No,No,0,159.8,91,120.4,86,163.0,93,10.6,3,2,False
GA,50,408,No,Yes,24,214.3,129,289.8,55,312.5,130,10.6,4,1,False
MO,179,510,No,No,0,287.3,123,288.0,114,266.0,112,10.5,4,0,True
MO,152,408,No,No,0,101.2,122,141.6,87,198.5,124,7.5,3,2,False
WY,105,415,No,No,0,102.8,74,281.7,125,228.1,113,13.2,5,2,False
HI,72,415,No,No,0,109.1,97,115.7,96,295.8,84,8.3,6,0,False
PA,52,408,No,No,0,215.9,67,217.0,108,342.8,130,5.2,2,1,False
TX,125,415,No,No,0,203.4,110,128.7,97,190.5,113,11.0,4,1,False
VA,143,510,No,No,0,110.1,113,169.0,59,166.7,94,9.2,2,1,False
RI,65,415,No,No,0,111.0,51,219.8,84,202.0,89,4.4,14,1,False
WI,80,415,No,No,0,239.9,121,142.3,51,364.3,106,9.3,5,1,False
NC,43,415,No,No,0,84.2,134,80.8,103,196.1,79,10.8,2,1,False
NV,143,415,No,No,0,209.1,127,106.1,80,179.6,90,14.0,6,0,False
UT,81,415,No,Yes,24,130.1,117,196.0,61,139.3,123,11.4,5,0,False
ME,205,510,No,Yes,24,175.8,139,155.0,98,180.7,64,7.8,5,2,False
HI,24,415,No,No,0,241.9,104,145.2,112,214.5,105,6.6,5,1,False
OH,74,415,No,No,0,136.7,106,228.6,105,265.3,114,9.8,4,0,False
OK,74,415,No,No,0,200.4,87,309.2,105,152.1,118,10.0,2,1,False
KY,74,510,Yes,No,0,125.8,103,207.7,96,207.4,143,14.1,4,1,True
AL,200,408,No,No,0,128.2,87,133.2,105,177.6,123,11.2,2,1,False
MD,86,408,No,No,0,226.3,88,223.0,107,255.6,92,13.0,3,4,False
NE,91,510,No,Yes,37,162.3,107,233.9,115,277.4,94,9.2,4,0,False
TX,130,415,No,No,0,120.5,127,189.7,52,270.1,107,14.3,2,1,False
OH,56,408,No,No,0,91.1,90,179.3,115,300.7,89,11.9,8,2,False
DE,117,415,No,No,0,168.8,137,241.4,107,204.8,106,15.5,4,0,False
VT,126,415,No,No,0,226.2,88,140.3,114,208.9,110,6.4,2,0,False
OR,132,510,No,No,0,191.9,107,206.9,127,272.0,88,12.6,2,1,False
NV,81,415,No,Yes,28,167.9,147,190.7,105,193.0,103,9.2,6,4,True
NC,122,415,No,No,0,180.0,88,145.0,77,233.7,120,11.5,6,2,False
NJ,46,408,No,No,0,257.4,67,261.1,91,204.4,107,13.4,5,2,True
ID,99,408,No,No,0,159.7,83,155.4,121,255.7,114,8.4,3,1,False
AL,87,408,No,No,0,237.2,124,222.6,87,173.3,81,11.0,3,1,False
AK,108,415,No,No,0,103.0,129,242.3,103,170.2,89,7.9,3,1,False
PA,53,415,No,No,0,205.1,86,160.5,95,149.5,142,10.7,2,3,False
NV,144,415,Yes,No,0,150.0,69,285.9,73,190.6,121,9.4,15,0,False
AL,91,510,No,Yes,23,232.4,97,186.0,88,190.5,128,12.3,3,3,False
GA,58,408,No,No,0,165.4,100,115.7,87,193.8,118,12.8,5,2,False
AR,5,415,No,No,0,199.2,106,187.3,12,214.0,85,13.3,3,3,False
MA,97,408,No,No,0,217.6,81,320.5,51,150.7,110,4.2,3,0,False
MO,142,415,No,Yes,30,154.0,75,165.8,97,270.0,83,10.8,5,1,False
NY,9,408,No,Yes,31,193.8,130,202.6,98,191.2,102,13.3,2,1,False
AZ,73,415,No,No,0,175.4,130,248.1,105,122.4,85,12.2,4,0,False
WV,43,408,No,No,0,230.2,147,186.7,121,128.4,100,9.2,3,0,False
NM,122,408,No,Yes,33,174.9,103,248.2,105,164.6,116,13.5,3,1,True
SC,93,415,No,No,0,190.2,68,262.2,64,130.0,92,8.8,4,0,False
VT,85,415,No,No,0,176.4,122,224.9,123,219.6,50,11.5,1,1,False
LA,87,415,No,No,0,228.7,90,163.0,99,154.1,90,11.8,3,1,False
OH,137,408,No,No,0,144.0,90,181.6,100,128.1,93,12.3,2,0,False
OR,21,510,No,Yes,31,135.9,90,271.0,84,179.1,89,9.5,7,6,False
KY,104,415,No,No,0,130.5,77,131.2,117,264.7,63,13.0,6,0,False
GA,93,408,No,Yes,21,134.2,105,162.5,128,186.6,90,11.8,2,4,True
VT,63,415,No,No,0,278.0,102,266.4,114,224.1,118,13.1,4,4,True
OR,161,415,No,No,0,105.4,70,214.8,122,223.6,126,7.8,5,0,False
MO,103,408,No,Yes,24,111.8,85,239.6,102,268.3,81,6.9,4,1,False
ND,84,415,No,Yes,33,159.1,106,149.8,101,213.4,108,13.0,18,1,False
MN,92,510,No,No,0,212.4,105,224.6,118,221.3,105,9.0,4,1,False
NV,77,415,No,No,0,142.3,112,306.3,111,196.5,82,9.9,1,1,False
NY,64,415,Yes,No,0,346.8,55,249.5,79,275.4,102,13.3,9,1,True
FL,159,415,No,Yes,15,113.9,102,145.3,146,195.2,137,11.8,9,1,False
KS,110,415,Yes,Yes,27,267.9,103,263.3,74,178.1,106,8.3,2,1,True
NV,138,510,No,No,0,171.4,117,115.2,128,224.5,115,17.0,4,3,False
NV,178,408,No,No,0,275.4,150,187.5,62,147.1,126,13.6,3,1,False
SC,38,415,No,Yes,31,197.2,118,249.9,70,298.9,104,3.9,2,0,False
MI,45,510,No,Yes,26,91.7,104,150.6,119,63.3,103,7.7,5,1,False
TN,70,510,No,No,0,126.3,99,141.6,106,255.9,96,9.6,2,0,False
NY,147,510,No,Yes,33,251.5,107,234.1,110,213.4,87,10.4,6,3,False
NV,94,510,No,No,0,190.6,108,152.3,95,144.7,97,7.5,5,1,False
IL,179,510,No,No,0,116.1,101,201.8,99,181.9,103,11.6,5,0,False
ND,59,510,No,No,0,179.4,80,232.5,99,175.8,105,14.7,3,0,False
NC,165,415,No,No,0,207.7,109,164.8,94,54.5,91,7.9,3,0,False
MI,133,408,No,No,0,277.3,138,228.4,117,117.3,103,12.8,4,2,True
TN,140,415,No,No,0,125.3,84,167.6,121,260.6,94,8.4,4,1,False
VT,93,408,No,Yes,32,138.1,91,167.3,72,238.9,115,6.8,3,2,False
DE,64,415,No,Yes,27,201.3,101,143.8,89,150.2,127,12.3,3,1,False
OR,48,415,No,No,0,190.4,92,317.5,85,133.4,113,8.3,4,2,False
NY,181,408,No,No,0,143.3,91,195.5,58,223.3,95,6.0,7,1,False
MO,168,415,No,Yes,42,97.4,57,203.6,98,173.9,124,11.4,2,2,False
FL,155,415,No,No,0,181.4,111,167.7,92,168.5,122,11.3,3,3,False
NY,11,415,No,No,0,143.4,130,289.4,50,194.0,100,9.7,6,2,False
ND,182,415,No,No,0,104.9,111,198.5,120,258.2,91,8.0,5,2,False
OH,102,415,No,No,0,114.8,125,81.9,126,304.3,101,12.0,4,0,False
AL,122,415,No,No,0,232.5,96,205.5,120,213.7,91,11.9,2,0,False
SC,41,415,No,No,0,143.6,117,152.4,108,194.4,110,8.6,3,1,False
GA,132,415,No,No,0,176.7,132,244.1,80,176.3,120,9.1,4,2,False
WY,76,415,No,No,0,263.4,148,230.3,69,170.6,101,11.4,5,1,True
HI,115,415,No,Yes,33,145.0,72,194.5,157,242.3,138,14.2,3,2,False
LA,154,510,No,No,0,166.9,99,154.9,97,189.4,89,7.2,5,0,False
AR,100,510,No,No,0,142.5,87,195.7,88,122.1,117,7.8,8,2,False
AK,146,510,Yes,No,0,133.0,65,262.8,93,214.3,128,11.2,3,1,False
AL,67,415,No,Yes,28,95.0,94,291.2,73,159.6,114,10.0,2,2,False
UT,161,510,Yes,No,0,194.2,106,249.4,105,254.9,129,12.9,1,1,True
KS,70,415,No,No,0,222.8,114,215.9,113,223.5,122,0.0,0,1,False
VA,99,415,No,Yes,42,216.0,125,232.3,104,215.5,100,9.3,4,2,True
UT,87,415,No,No,0,146.3,108,171.8,102,167.5,66,5.3,9,1,False
IN,87,510,No,No,0,234.8,85,140.9,91,204.3,93,9.5,5,1,False
CT,70,408,No,No,0,198.6,111,213.9,115,171.2,105,10.6,6,2,False
MO,119,408,No,Yes,32,142.6,77,208.2,126,171.0,102,12.0,2,3,False
RI,87,510,Yes,No,0,134.2,80,165.0,71,173.1,102,10.7,5,0,False
CA,112,415,No,No,0,111.9,92,114.0,143,146.8,79,14.1,3,5,True
RI,75,415,No,No,0,122.8,89,211.3,104,261.4,91,10.7,2,2,False
CT,150,510,No,No,0,189.3,77,220.9,105,238.7,117,9.2,5,4,False
IN,161,510,No,Yes,38,240.4,112,201.8,102,206.1,112,16.1,6,0,False
FL,91,510,Yes,Yes,24,93.5,112,183.4,128,240.7,133,9.9,3,0,False
KS,124,415,No,No,0,158.6,104,211.2,77,179.3,104,10.2,8,3,False
RI,158,510,No,No,0,220.9,129,242.2,108,233.3,75,6.4,5,0,False
NV,102,415,No,No,0,144.4,87,266.5,128,217.6,59,7.1,7,0,False
UT,85,510,No,No,0,212.3,107,228.4,103,163.3,116,7.7,3,0,False
OK,79,510,No,No,0,147.0,72,165.7,102,243.2,107,8.4,9,1,False
MN,139,510,No,Yes,25,96.2,112,178.9,70,182.1,84,12.9,10,2,False
NC,103,415,No,No,0,263.4,118,179.1,69,214.7,112,10.3,2,0,False
OR,98,415,Yes,No,0,12.5,67,256.6,90,169.4,88,7.7,9,1,False
NH,78,408,No,No,0,162.3,116,192.4,86,240.6,100,10.1,3,2,False
AK,50,408,No,No,0,183.6,107,58.6,118,202.6,99,8.7,3,1,False
WV,86,415,No,Yes,38,123.0,158,133.9,119,138.2,103,13.3,4,1,False
GA,92,510,No,No,0,208.0,125,198.9,76,76.4,97,8.6,6,0,False
NM,174,415,No,No,0,239.2,72,188.5,124,105.6,116,8.8,3,1,False
OH,124,510,No,No,0,193.0,97,89.8,99,172.8,104,15.3,3,1,False
RI,190,415,No,Yes,26,116.7,71,145.9,88,175.1,103,9.9,3,1,False
HI,101,510,No,No,0,93.8,127,150.0,104,241.1,116,10.7,2,1,False
WY,185,415,Yes,Yes,30,154.1,114,118.7,106,258.4,105,12.9,3,2,False
NY,68,415,No,Yes,29,239.5,82,203.8,105,167.8,70,9.9,6,0,False
KS,117,510,No,Yes,25,216.0,140,224.1,69,267.9,112,11.8,4,0,False
LA,118,408,No,No,0,187.4,97,177.8,89,233.4,97,12.2,6,1,False
PA,124,415,No,No,0,167.4,119,233.2,143,109.6,115,10.3,5,0,False
NV,22,510,No,No,0,160.4,108,218.1,88,192.9,115,12.5,4,1,False
MN,75,415,No,No,0,143.2,92,209.1,142,173.0,96,11.9,9,1,False
MO,164,408,No,Yes,25,219.1,88,151.5,99,50.1,60,14.3,6,1,False
ME,177,415,No,No,0,232.8,106,175.2,97,212.2,77,12.5,7,2,False
NH,110,408,No,No,0,162.0,81,247.5,89,155.5,99,8.9,8,0,False
MN,158,408,No,No,0,209.9,112,221.3,82,210.0,93,8.2,3,1,False
OH,114,415,No,No,0,191.5,88,175.2,78,220.3,118,0.0,0,0,False
NC,64,408,No,Yes,19,291.1,150,226.7,123,219.1,67,7.5,2,1,False
KY,111,415,No,No,0,255.9,97,204.1,129,171.3,84,12.3,5,3,False
MT,60,408,No,No,0,252.7,97,221.1,121,109.9,100,12.4,4,2,False
NJ,113,408,No,No,0,132.1,72,247.5,107,246.2,123,6.9,6,3,False
FL,109,408,No,No,0,217.0,115,207.0,142,268.0,106,8.2,4,1,False
IN,105,510,No,Yes,42,101.9,79,223.1,97,241.6,77,12.9,2,0,False
DE,85,510,No,No,0,211.5,100,184.6,88,164.3,131,13.3,4,2,False
AL,131,510,No,No,0,153.4,86,198.5,81,164.4,83,10.4,3,0,False
ME,59,510,No,No,0,166.3,95,239.3,87,123.2,108,10.0,3,2,False
SD,148,408,No,No,0,185.2,87,170.4,96,165.1,104,9.5,13,1,False
VA,210,408,No,No,0,104.6,121,149.5,71,255.1,67,6.5,8,2,False
ID,106,510,No,No,0,274.4,120,198.6,82,160.8,62,6.0,3,1,False
KY,57,415,No,Yes,29,279.9,121,223.1,109,251.7,94,13.0,2,1,False
ND,98,510,No,No,0,187.2,127,195.6,88,181.8,129,5.1,4,1,False
HI,157,415,No,No,0,276.2,95,165.8,119,151.6,79,2.2,4,3,False
WI,116,415,No,Yes,35,200.4,104,272.8,89,214.5,100,8.3,4,1,False
WV,30,510,No,No,0,162.3,96,244.0,122,180.1,89,9.1,4,2,False
NJ,111,510,No,No,0,176.9,128,102.8,56,213.7,84,10.5,2,4,True
KS,52,415,No,No,0,165.5,78,205.5,89,213.6,124,12.2,6,0,False
NJ,135,510,No,Yes,28,201.4,100,246.5,117,154.8,131,12.9,4,2,True
NC,86,510,No,No,0,190.5,115,179.6,130,258.5,89,10.1,5,3,False
WY,151,510,No,No,0,235.9,104,80.6,91,212.8,116,5.8,2,3,False
NY,117,415,No,No,0,144.6,115,258.8,66,253.2,113,7.4,9,2,False
ID,82,408,No,No,0,101.0,93,155.6,104,304.4,93,13.3,2,0,False
IA,152,415,No,No,0,206.3,98,292.8,82,43.7,121,10.6,4,1,False
TN,108,408,No,Yes,15,165.1,85,267.0,93,250.7,114,10.9,4,1,False
OH,98,408,No,No,0,165.0,129,202.6,113,172.3,94,12.5,7,1,True
MA,47,415,No,No,0,155.3,116,188.2,85,247.0,73,12.3,4,3,False
OK,189,415,No,No,0,208.3,106,236.7,123,179.1,120,11.3,5,3,False
NE,159,415,No,No,0,189.1,105,246.1,147,242.0,106,10.4,5,1,True
VA,11,408,No,Yes,24,131.5,98,230.2,111,283.7,87,10.0,3,2,False
MT,111,408,No,No,0,142.3,75,122.8,106,229.5,94,12.8,9,2,False
VT,99,408,No,Yes,19,87.7,103,223.0,86,182.3,112,7.3,4,2,False
VA,114,415,Yes,Yes,31,174.5,104,224.2,92,116.3,91,12.3,10,2,False
AL,71,415,No,No,0,103.3,103,138.5,79,164.8,98,9.0,2,2,False
AL,100,408,No,Yes,25,246.6,94,141.4,112,189.8,109,13.0,5,1,False
WV,83,415,No,Yes,37,78.5,109,210.5,101,179.7,102,11.8,4,1,False
NV,64,408,No,No,0,148.1,73,164.9,101,216.0,125,12.3,2,5,True
TN,105,408,No,No,0,206.2,84,256.4,138,117.1,91,9.0,3,1,False
ID,144,415,No,Yes,33,251.6,87,197.6,118,209.2,97,12.2,3,2,False
WY,106,415,Yes,Yes,26,270.3,111,215.2,90,254.0,133,14.4,7,1,True
TX,19,510,No,Yes,34,156.6,97,224.2,97,260.9,135,11.3,1,1,False
MA,46,408,No,No,0,139.4,81,223.7,113,173.1,77,13.6,6,1,False
IL,127,510,No,No,0,220.2,108,188.4,124,172.7,113,11.7,3,2,False
LA,9,415,No,Yes,39,214.1,108,169.2,115,189.7,117,10.1,3,1,False
CO,157,415,No,No,0,196.0,74,213.4,96,196.8,81,7.9,6,1,False
UT,105,415,No,No,0,106.4,71,240.1,83,147.7,114,5.3,4,6,True
ID,31,415,No,No,0,177.3,129,152.8,105,162.9,92,5.1,2,0,False
MN,95,408,No,Yes,32,262.2,123,165.2,82,194.3,57,10.6,5,0,False
GA,132,415,No,No,0,193.3,106,128.3,94,162.1,119,11.6,4,5,True
HI,119,408,No,Yes,24,217.2,94,138.7,52,139.3,85,11.3,4,0,False
AL,16,408,No,No,0,209.5,89,172.8,85,94.1,102,8.8,4,1,False
CT,99,408,No,No,0,95.4,105,207.2,101,136.0,117,5.6,5,1,False
CO,76,408,No,Yes,26,214.6,110,205.2,87,134.6,140,8.1,2,1,False
KS,167,415,No,No,0,131.6,120,211.3,96,168.3,97,11.1,4,4,True
NJ,129,415,No,No,0,168.4,117,217.1,129,81.6,100,11.8,7,1,False
FL,116,408,No,No,0,146.4,123,176.6,113,212.6,102,7.8,5,1,False
CA,60,415,Yes,No,0,183.0,110,206.7,93,203.8,119,11.1,6,1,False
TX,47,408,No,Yes,28,112.2,70,154.8,106,166.7,105,10.6,2,0,False
MN,40,510,Yes,No,0,170.7,55,179.1,108,281.9,89,8.2,9,3,False
AK,173,510,No,No,0,172.5,78,142.6,91,102.0,63,10.9,2,0,False
OR,157,510,No,Yes,30,194.3,107,243.2,108,322.2,114,7.1,5,1,False
MS,66,408,No,Yes,32,187.8,117,129.8,90,132.3,113,12.0,3,2,False
VT,50,415,Yes,Yes,26,307.1,94,289.4,78,174.9,109,8.0,3,0,False
UT,72,415,No,No,0,118.2,106,167.2,136,214.2,106,12.2,3,3,False
KS,130,510,No,No,0,154.0,95,205.9,106,233.7,75,12.9,1,1,False
NV,143,408,No,No,0,155.5,101,213.4,89,237.9,61,7.6,11,1,False
TX,32,408,No,No,0,157.9,88,180.8,132,132.5,102,12.8,3,1,False
MA,166,415,No,No,0,203.4,81,167.7,110,132.0,124,9.2,5,2,False
CA,72,408,No,Yes,39,92.8,98,271.2,115,167.1,83,5.8,7,1,False
IA,134,415,No,Yes,32,216.8,78,102.2,111,174.0,83,8.6,2,0,False
NH,13,415,No,No,0,193.2,89,194.4,90,186.5,104,9.7,2,4,False
GA,90,415,No,No,0,113.2,108,189.3,63,271.8,124,14.1,4,3,False
WI,111,415,No,Yes,36,166.2,54,238.8,109,108.8,92,11.2,2,3,False
CO,101,408,No,Yes,23,262.2,101,157.0,80,129.1,100,7.3,14,1,False
SC,72,415,No,No,0,207.8,92,195.7,110,184.8,124,13.1,4,0,False
MI,67,510,No,Yes,35,245.4,89,148.2,102,274.0,136,7.5,6,1,False
MD,172,408,No,No,0,287.1,108,178.4,125,153.2,98,14.4,2,3,True
IN,154,510,No,Yes,32,192.3,82,165.3,134,205.0,74,9.0,1,2,False
ME,69,510,No,No,0,194.2,122,242.1,81,215.8,80,9.7,3,2,False
DC,123,415,No,No,0,211.0,92,217.0,102,214.8,104,9.8,7,3,False
TN,130,415,No,Yes,12,141.9,92,228.9,102,195.1,101,8.7,5,0,False
FL,142,415,No,Yes,26,220.5,94,239.5,126,254.3,109,5.9,9,2,False
HI,87,408,No,Yes,28,143.5,106,223.5,147,175.4,69,11.2,5,0,False
NE,149,415,No,No,0,156.0,56,56.0,116,163.3,104,8.9,8,0,False
TN,146,408,Yes,No,0,160.1,63,208.4,112,177.6,98,9.2,3,2,False
MD,88,415,Yes,No,0,235.1,98,251.8,79,285.9,76,7.2,2,4,True
VT,48,510,No,No,0,188.4,63,165.9,89,205.7,71,13.2,2,1,False
OR,135,415,No,No,0,194.8,97,235.3,118,174.4,126,11.0,3,1,False
IN,100,510,No,No,0,247.8,117,130.0,95,134.3,125,6.9,2,1,False
MO,98,415,No,No,0,221.2,80,213.6,104,291.8,89,11.9,3,4,False
FL,75,510,No,Yes,26,118.5,86,213.9,118,132.6,99,13.4,3,2,False
DC,180,415,No,Yes,33,231.8,78,232.9,79,206.9,121,7.6,4,1,False
VT,100,415,No,Yes,25,215.9,90,257.9,92,180.2,157,11.6,4,1,False
OH,119,415,No,Yes,35,217.1,92,220.8,134,249.5,93,8.0,5,2,False
LA,155,408,No,Yes,39,183.3,106,205.1,101,263.7,90,5.1,7,1,False
IL,78,415,Yes,No,0,236.8,141,265.3,101,152.4,77,9.5,2,1,True
NJ,153,415,No,No,0,193.8,90,195.3,121,182.7,108,8.5,3,1,False
NE,154,415,No,No,0,191.4,93,205.4,119,205.7,121,10.2,3,3,False
WV,48,408,No,No,0,275.2,67,180.2,108,159.0,110,7.9,2,1,False
ND,94,408,No,No,0,174.0,85,241.1,114,207.8,94,7.9,1,1,False
UT,139,415,No,No,0,165.0,132,249.7,86,170.3,128,12.6,8,1,False
MS,126,415,No,No,0,228.7,102,168.7,99,223.5,100,11.8,4,1,False
MN,122,415,No,No,0,107.9,88,235.8,109,228.6,119,9.5,3,2,False
KS,131,415,No,Yes,28,249.6,87,227.2,138,239.9,92,7.6,3,3,False
KS,36,510,No,No,0,178.6,83,213.1,103,198.0,119,10.9,5,1,False
NV,180,510,No,No,0,139.0,96,224.9,64,170.8,118,15.7,5,2,False
MT,25,415,No,No,0,134.3,98,202.3,109,195.9,100,12.6,5,2,False
AK,120,415,No,No,0,178.4,97,168.3,113,120.5,93,9.3,9,1,False
AR,109,510,No,No,0,170.7,101,240.2,82,119.0,112,11.4,4,2,False
LA,162,510,No,Yes,33,184.5,139,183.2,78,127.4,106,12.3,6,0,False
KS,124,510,No,Yes,37,161.2,109,204.2,79,231.5,87,8.9,4,1,False
OR,177,408,No,No,0,84.9,77,257.5,109,210.5,66,7.5,5,2,False
WI,91,510,No,No,0,217.9,71,230.1,116,232.1,110,10.6,2,1,False
CO,105,408,No,No,0,270.9,98,226.2,110,178.8,60,8.8,5,0,True
KS,24,510,No,No,0,243.0,91,183.9,77,184.3,109,15.3,6,0,True
IA,86,408,No,No,0,126.3,115,168.8,112,154.6,95,9.8,7,2,False
NE,91,510,No,No,0,159.0,109,255.1,142,82.4,73,10.1,4,0,False
OH,147,415,Yes,Yes,24,219.9,118,208.5,116,352.5,111,8.1,4,3,False
TN,108,510,No,Yes,34,162.1,83,171.8,117,259.8,76,9.6,3,4,True
OK,159,510,No,No,0,198.8,107,195.5,91,213.3,120,16.5,7,5,False
ND,136,510,Yes,No,0,256.8,90,230.1,104,143.6,82,9.1,10,3,False
NC,45,408,No,Yes,38,196.8,92,254.2,108,261.8,85,7.7,2,1,False
MN,122,415,No,No,0,140.1,120,231.4,128,188.1,127,11.2,5,2,False
MN,138,415,No,No,0,194.3,83,189.9,97,232.2,102,9.0,3,5,False
MA,132,415,No,No,0,117.6,66,214.0,108,239.5,94,8.8,5,1,False
GA,58,510,No,No,0,243.1,105,231.4,108,180.9,120,7.8,4,2,False
NV,81,415,No,No,0,145.4,132,129.3,91,186.4,109,5.2,4,1,False
TX,87,415,No,No,0,169.1,105,169.9,102,244.9,106,9.9,10,3,False
ME,116,510,No,No,0,229.3,93,184.5,111,168.2,91,8.8,3,2,False
MN,62,510,No,Yes,33,186.4,84,201.0,136,286.7,103,11.1,3,2,True
TN,98,415,No,No,0,162.8,65,185.0,109,219.5,104,6.0,3,2,False
RI,107,510,Yes,No,0,194.4,83,247.8,84,245.4,93,11.2,7,2,False
NC,30,510,No,No,0,145.0,76,240.7,112,197.1,134,7.1,4,3,False
MA,40,408,No,Yes,31,224.7,69,134.5,81,120.3,104,7.5,5,1,True
TN,72,408,No,No,0,147.0,79,162.3,103,162.9,80,10.5,4,1,False
WY,95,415,No,Yes,39,260.8,130,213.4,111,195.6,97,10.1,5,1,False
IA,42,415,No,No,0,155.4,127,164.1,45,157.7,128,9.0,3,0,False
IN,86,415,No,No,0,166.2,112,255.3,81,228.1,97,5.4,7,1,False
FL,55,510,No,Yes,45,130.5,114,208.4,94,141.6,114,11.0,5,4,True
MT,74,415,No,No,0,162.7,102,292.0,105,183.3,80,8.7,6,0,False
